site,data_status,action_code,datetime,parameter,duration,frequency,value,unit,qc,poc,lat,lon,GISDatum,elev,method_code,mpc,mpc_value,uncertainty,qualifiers
840020900034,0,10,20150708T1700-0900,64101,60,0,744,016,0,1,64.84569,-147.727413,WGS84,132,014,1,.7,,
840020900034,0,10,20150708T1500-0900,64101,60,0,744,016,0,1,64.84569,-147.727413,WGS84,132,014,1,.7,,
840020900034,0,10,20150708T1400-0900,64101,60,0,745,016,0,1,64.84569,-147.727413,WGS84,132,014,1,.7,,
840020900034,0,10,20150708T1600-0900,64101,60,0,744,016,0,1,64.84569,-147.727413,WGS84,132,014,1,.7,,
840020900034,0,10,20150708T1300-0900,64101,60,0,745,016,0,1,64.84569,-147.727413,WGS84,132,014,1,.7,,
840020900034,0,10,20150708T1100-0900,64101,60,0,745,016,0,1,64.84569,-147.727413,WGS84,132,014,1,.7,,
840020900034,0,10,20150708T1200-0900,64101,60,0,745,016,0,1,64.84569,-147.727413,WGS84,132,014,1,.7,,
840020900034,0,10,20150708T0900-0900,64101,60,0,746,016,0,1,64.84569,-147.727413,WGS84,132,014,1,.7,,
840020900034,0,10,20150708T0800-0900,64101,60,0,746,016,0,1,64.84569,-147.727413,WGS84,132,014,1,.7,,
840020900034,0,10,20150701T0400-0900,64101,60,0,751,016,0,1,64.84569,-147.727413,WGS84,132,014,1,.7,,
840020900034,0,10,20150701T0300-0900,64101,60,0,751,016,0,1,64.84569,-147.727413,WGS84,132,014,1,.7,,
840020900034,0,10,20150701T0200-0900,64101,60,0,751,016,0,1,64.84569,-147.727413,WGS84,132,014,1,.7,,
840020900034,0,10,20150701T0100-0900,64101,60,0,751,016,0,1,64.84569,-147.727413,WGS84,132,014,1,.7,,
840020900034,0,10,20150709T2300-0900,64101,60,0,743,016,0,1,64.84569,-147.727413,WGS84,132,014,1,.7,,
840020900034,0,10,20150709T2200-0900,64101,60,0,742,016,0,1,64.84569,-147.727413,WGS84,132,014,1,.7,,
840020900034,0,10,20150709T0000-0900,64101,60,0,743,016,0,1,64.84569,-147.727413,WGS84,132,014,1,.7,,
840020900034,0,10,20150709T2000-0900,64101,60,0,742,016,0,1,64.84569,-147.727413,WGS84,132,014,1,.7,,
